id,titulo,arquivo
,013 A IMPORTÂNCIA DO MÉDICO VETERINÁRIO NA ATER E NAS COOPERATIVAS BRASILEIRAS,013-A IMPORTÂNCIA DO MÉDICO VETERINÁRIO NA ATER E NAS COOPERATIVAS BRASILEIRAS.txt
,014 A INFLUÊNCIA DA INTERCOOPERAÇÃO NO DESEMPENHO ECONÔMICO FINANCEIRO EM COOPERATIVAS AGROINDUSTRIAIS DOS CAMPOS GERAIS,014-A INFLUÊNCIA DA INTERCOOPERAÇÃO NO DESEMPENHO ECONÔMICO-FINANCEIRO EM COOPERATIVAS AGROINDUSTRIAIS DOS CAMPOS GERAIS.txt
,"015 A INFLUÊNCIA DAS DIMENSÕES CULTURA, LIDERANÇA E APRENDIZAGEM NA INOVATIVIDADE DE UMA ORGANIZAÇÃO COOPERATIVA","015-A INFLUÊNCIA DAS DIMENSÕES CULTURA, LIDERANÇA E APRENDIZAGEM NA INOVATIVIDADE DE UMA ORGANIZAÇÃO COOPERATIVA.txt"
,016 A INSTITUCIONALIZAÇÃO DA SUSTENTABILIDADE UM ESTUDO EM UMA COOPERATIVA AGROINDUSTRIAL,016-A INSTITUCIONALIZAÇÃO DA SUSTENTABILIDADE UM ESTUDO EM UMA COOPERATIVA AGROINDUSTRIAL.txt
,017 A INTEGRAÇÃO DE NOVOS COLABORADORES PARA A SOCIALIZAÇÃO ORGANIZACIONAL O CASO DO SISTEMA CRESOL BASER,017-A INTEGRAÇÃO DE NOVOS COLABORADORES PARA A SOCIALIZAÇÃO ORGANIZACIONAL O CASO DO SISTEMA CRESOL BASER.txt
,018 A INTERCOOPERAÇÃO NAS COOPERATIVAS DE CRÉDITO DA REGIÃO DO VALE DO AÇO DISCURSO OU EFETIVIDADE,018-A INTERCOOPERAÇÃO NAS COOPERATIVAS DE CRÉDITO DA REGIÃO DO VALE DO AÇO DISCURSO OU EFETIVIDADE.txt
,019 A LIVRE ADESÃO NAS COOPERATIVAS DE CRÉDITO ESTAMOS CAPTANDO COOPERADOS OU CORRENTISTAS,019-A LIVRE ADESÃO NAS COOPERATIVAS DE CRÉDITO ESTAMOS CAPTANDO COOPERADOS OU CORRENTISTAS.txt
,020 A PERCEPÇÃO DA ESTRUTURA ORGANIZACIONAL DAS COOPERATIVAS DE CRÉDITO SEGUNDO O PERFIL DOS COLABORADORES,020-A PERCEPÇÃO DA ESTRUTURA ORGANIZACIONAL DAS COOPERATIVAS DE CRÉDITO SEGUNDO O PERFIL DOS COLABORADORES.txt
,021 A PRESERVAÇÃO DO ATO COOPERATIVO DE ENTREGA OU RECEBIMENTO NA LEI 13.2882016,021-A PRESERVAÇÃO DO ATO COOPERATIVO DE ENTREGA OU RECEBIMENTO NA LEI 13.2882016.txt
,022 A PRÁTICA DA INTERCOOPERAÇÃO NO COOPERATIVISMO DE CRÉDITO UM ESTUDO DE CASO DE UMA AGÊNCIA COMPARTILHADA POR QUATRO COOPERATIVAS DE CRÉDITO DE MINAS GERAIS,022-A PRÁTICA DA INTERCOOPERAÇÃO NO COOPERATIVISMO DE CRÉDITO UM ESTUDO DE CASO DE UMA AGÊNCIA COMPARTILHADA POR QUATRO COOPERATIVAS DE CRÉDITO DE MINAS GERAIS.txt
,023 A SUSTENTABILIDADE NA CAFEICULTURA um estudo sobre a relação de uma cooperativa de cafeicultores com,023-A SUSTENTABILIDADE NA CAFEICULTURA um estudo sobre a relação de uma cooperativa de cafeicultores com.txt
,"024 A TRAJETÓRIA, MUDANÇAS ORGANIZACIONAIS E PERSPECTIVAS DE UMA COOPERATIVA DE CRÉDITO SOLIDÁRIO UM ESTUDO DE CASO EM MINAS GERAIS","024-A TRAJETÓRIA, MUDANÇAS ORGANIZACIONAIS E PERSPECTIVAS DE UMA COOPERATIVA DE CRÉDITO SOLIDÁRIO UM ESTUDO DE CASO EM MINAS GERAIS.txt"
,025 ABORDAGEM DE GRUPOS ESTRATÉGICOS APLICADA AS COOPERATIVAS AGRÍCOLAS UMA REVISÃO SISTEMÁTICA DE LITER,025-ABORDAGEM DE GRUPOS ESTRATÉGICOS APLICADA AS COOPERATIVAS AGRÍCOLAS UMA REVISÃO SISTEMÁTICA DE LITER.txt
,026 ABORDAGEM SOBRE COOPERATIVISMO ENTRE MÉDICOS ANESTESIOLOGISTAS Um estudo em uma cooperativa médica,026-ABORDAGEM SOBRE COOPERATIVISMO ENTRE MÉDICOS ANESTESIOLOGISTAS Um estudo em uma cooperativa médica.txt
027-ABORDAGEM,TEORICA_SOBRE_DESCOLONIZACAO_DO_CONHECIMENTO_CONTRA_HEGEMONIA_E_PRAXIS_TERRITORIAL_NO_PROG,027-ABORDAGEM_TEORICA_SOBRE_DESCOLONIZACAO_DO_CONHECIMENTO_CONTRA_HEGEMONIA_E_PRAXIS_TERRITORIAL_NO_PROG.txt
028-ACOES,GOVERNAMENTAIS_MITIGADORAS_DOS_EFEITOS_DA_PANDEMIA_COVID 19_PARA_A_AGRICULTURA_FAMILIAR_O_CASO,028-ACOES_GOVERNAMENTAIS_MITIGADORAS_DOS_EFEITOS_DA_PANDEMIA_COVID-19_PARA_A_AGRICULTURA_FAMILIAR_O_CASO.txt
029-ACORDOS,DE_PESCA_NO_AMAZONAS_CONTRIBUICOES_PARA_A_MANUTENCAO_DOS_SERVICOS_AMBIENTAIS_SEGURANCA_ALIME,029-ACORDOS_DE_PESCA_NO_AMAZONAS_CONTRIBUICOES_PARA_A_MANUTENCAO_DOS_SERVICOS_AMBIENTAIS_SEGURANCA_ALIME.txt
030-ACUMULACAO,DO_CAPITAL_HUMANO_E_DESIGUALDADE_DE_OPORTUNIDADES_OS_DESAFIOS_PARA_SUBGRUPOS_DA_POPULACAO,030-ACUMULACAO_DO_CAPITAL_HUMANO_E_DESIGUALDADE_DE_OPORTUNIDADES_OS_DESAFIOS_PARA_SUBGRUPOS_DA_POPULACAO.txt
031-ADERENCIA,DAS_COOPERATIVAS_DA_REGIAO_METROPOLITANA_DE_BELEM_AS_LEGISLACOES_VIGENTES_DO_COOPERATIVISM,031-ADERENCIA_DAS_COOPERATIVAS_DA_REGIAO_METROPOLITANA_DE_BELEM_AS_LEGISLACOES_VIGENTES_DO_COOPERATIVISM.txt
032-AGRICULTURA,FAMILIAR_ASSOCIADA_EM_COOPERATIVAS_NO_BRASIL_UMA_CARACTERIZACAO_A_PARTIR_DO_CENSO_AGROPE,032-AGRICULTURA_FAMILIAR_ASSOCIADA_EM_COOPERATIVAS_NO_BRASIL_UMA_CARACTERIZACAO_A_PARTIR_DO_CENSO_AGROPE.txt
033-AGRICULTURA,FAMILIAR_EM_MINAS_GERAIS_UMA_ANALISE_EXPLORATORIA_COMPARATIVA,033-AGRICULTURA_FAMILIAR_EM_MINAS_GERAIS_UMA_ANALISE_EXPLORATORIA_COMPARATIVA.txt
034-AGRICULTURA,FAMILIAR_E_PANDEMIA_POLITICAS_DESENVOLVIDAS_PELOS_GOVERNOS_URUGUAIO_E_CHILENO,034-AGRICULTURA_FAMILIAR_E_PANDEMIA_POLITICAS_DESENVOLVIDAS_PELOS_GOVERNOS_URUGUAIO_E_CHILENO.txt
035-AGRICULTURA,FAMILIAR_E_PNAE_DIFERENTES_CONTEXTOS_DURANTE_A_PANDEMIA_DO_CORONAVIRUS,035-AGRICULTURA_FAMILIAR_E_PNAE_DIFERENTES_CONTEXTOS_DURANTE_A_PANDEMIA_DO_CORONAVIRUS.txt
036-AGRICULTURA,FAMILIAR_E_RESILIENCIA_NO_SEMIARIDO_AVALIACAO_DE_INDICADORES_EM_COMUNIDADES_RURAIS_NO_MU,036-AGRICULTURA_FAMILIAR_E_RESILIENCIA_NO_SEMIARIDO_AVALIACAO_DE_INDICADORES_EM_COMUNIDADES_RURAIS_NO_MU.txt
037-AGRICULTURA,FAMILIAR_MERCADOS_INSTITUCIONAIS_E_SEGURANCA_ALIMENTAR_PERSPECTIVAS_PARA_O_FORTALECIMENT,037-AGRICULTURA_FAMILIAR_MERCADOS_INSTITUCIONAIS_E_SEGURANCA_ALIMENTAR_PERSPECTIVAS_PARA_O_FORTALECIMENT.txt
038-AGRICULTURA,FAMILIAR_NO_PARA_E_AS_LIMITACOES_DO_PROGRAMA_NACIONAL_DE_ALIMENTACAO_ESCOLAR_PNAE,038-AGRICULTURA_FAMILIAR_NO_PARA_E_AS_LIMITACOES_DO_PROGRAMA_NACIONAL_DE_ALIMENTACAO_ESCOLAR_PNAE.txt
039-AGRICULTURA,FAMILIAR_RESILIENCIA_E_COVID 19_UM_ESTUDO_SOBRE_OS_IMPACTOS_DA_PANDEMIA_A_PARTIR_DA_ANAL,039-AGRICULTURA_FAMILIAR_RESILIENCIA_E_COVID-19_UM_ESTUDO_SOBRE_OS_IMPACTOS_DA_PANDEMIA_A_PARTIR_DA_ANAL.txt
040-AGRICULTURA,FLORESTA_E_OUTROS_USOS_DA_TERRA_NO_BRASIL_ELEMENTOS_PARA_CONHECER_A_METODOLOGIA_DE_CLASS,040-AGRICULTURA_FLORESTA_E_OUTROS_USOS_DA_TERRA_NO_BRASIL_ELEMENTOS_PARA_CONHECER_A_METODOLOGIA_DE_CLASS.txt
041-AGRICULTURA,ORGANICA_IMPACTOS_AMBIENTAIS_SOCIAIS_ECONOMICOS_E_NA_SAUDE_HUMANA,041-AGRICULTURA_ORGANICA_IMPACTOS_AMBIENTAIS_SOCIAIS_ECONOMICOS_E_NA_SAUDE_HUMANA.txt
042-AGROECOLOGIA,E_PRODUCAO_ORGANICA_CARACTERISTICAS_QUE_DISTINGUEM_EOU_APROXIMAM_OS_SISTEMAS_DE_PRODUCA,042-AGROECOLOGIA_E_PRODUCAO_ORGANICA_CARACTERISTICAS_QUE_DISTINGUEM_EOU_APROXIMAM_OS_SISTEMAS_DE_PRODUCA.txt
043-AGROECOLOGIA,reflexoes_em_tempos_sindemicos,043-AGROECOLOGIA_reflexoes_em_tempos_sindemicos.txt
044-AGROFLORESTA,COMO_ESTRATEGIA_DE_DIVERSIFICACAO_DE_RENDA_PARA_A_AGRICULTURA_FAMILIAR,044-AGROFLORESTA_COMO_ESTRATEGIA_DE_DIVERSIFICACAO_DE_RENDA_PARA_A_AGRICULTURA_FAMILIAR.txt
045-AGROINDUSTRIAS,FAMILIARES_DO_NORTE_GAUCHO_PRATICAS_DE_GESTAO_E_ESTRATEGIAS_DE_MERCADOS,045-AGROINDUSTRIAS_FAMILIARES_DO_NORTE_GAUCHO_PRATICAS_DE_GESTAO_E_ESTRATEGIAS_DE_MERCADOS.txt
046-AGROINDUSTRIAS,RURAIS_NA_REGIAO_SUL_DO_BRASIL_uma_analise_a_partir_do_Censo_Agropecuario_2017,046-AGROINDUSTRIAS_RURAIS_NA_REGIAO_SUL_DO_BRASIL_uma_analise_a_partir_do_Censo_Agropecuario_2017.txt
047-AGRONEGOCIO,E_COVID 19_UMA_REVISAO_DE_LITERATURA,047-AGRONEGOCIO_E_COVID-19_UMA_REVISAO_DE_LITERATURA.txt
048-AGRONEGOCIO,FAMILIAS_E_INFRAESTRUTURA_DOMICILIAR_NO_DESENVOLVIMENTO_RURAL_DO_CENTRO OESTE_SECULO_XXI,048-AGRONEGOCIO_FAMILIAS_E_INFRAESTRUTURA_DOMICILIAR_NO_DESENVOLVIMENTO_RURAL_DO_CENTRO-OESTE_SECULO_XXI.txt
049-AGROPECUARIA,E_DESENVOLVIMENTO_MUNICIPAL_NO_ESTADO_DO_TOCANTINS,049-AGROPECUARIA_E_DESENVOLVIMENTO_MUNICIPAL_NO_ESTADO_DO_TOCANTINS.txt
050-ALIMENTACAO,E_DESEMPENHO_ESCOLAR_UMA_AVALIACAO_DA_INFLUENCIA_DO_PRONAF_SOBRE_OS_RESULTADOS_DO_IDEB,050-ALIMENTACAO_E_DESEMPENHO_ESCOLAR_UMA_AVALIACAO_DA_INFLUENCIA_DO_PRONAF_SOBRE_OS_RESULTADOS_DO_IDEB.txt
,051 ALOCAÇÃO DE RECURSOS FINANCEIROS EM TREINAMENTO E DESENVOLVIMENTO NAS COOPERATIVAS AGROPECUÁRIAS,051-ALOCAÇÃO DE RECURSOS FINANCEIROS EM TREINAMENTO E DESENVOLVIMENTO NAS COOPERATIVAS AGROPECUÁRIAS.txt
052-ALTERACOES,NA_DINAMICA_ESTRUTURAL_DA_PRODUCAO_DE_LARANJA_NA_REGIAO_NORTE_DO_PARANA,052-ALTERACOES_NA_DINAMICA_ESTRUTURAL_DA_PRODUCAO_DE_LARANJA_NA_REGIAO_NORTE_DO_PARANA.txt
053-ANALISES,DAS_TIPIFICICADES_DAS_POLITICAS_PUBLICAS_CONCERNENTES_AO_FOMENTO_DA_BIOECONOMIA_SUSTENTAVEL,053-ANALISES_DAS_TIPIFICICADES_DAS_POLITICAS_PUBLICAS_CONCERNENTES_AO_FOMENTO_DA_BIOECONOMIA_SUSTENTAVEL.txt
054-ANALISES,DE_CUSTOS_RISCOS_E_RENTABILIDADE_NA_PECUARIA_LEITEIRA,054-ANALISES_DE_CUSTOS_RISCOS_E_RENTABILIDADE_NA_PECUARIA_LEITEIRA.txt
055-ANALISE,BIBLIOMETRICA_SOBRE_DESENVOLVIMENTO_SUSTENTAVEL_E_POLITICAS_PUBLICAS_NA_AMAZONIA_BRASILEIRA,055-ANALISE_BIBLIOMETRICA_SOBRE_DESENVOLVIMENTO_SUSTENTAVEL_E_POLITICAS_PUBLICAS_NA_AMAZONIA_BRASILEIRA.txt
056-ANALISE,COMPARATIVA_DOS_RETORNOS_E_DOS_CUSTOS_DE_COOPERATIVAS_DE_CREDITO_BRASILEIRAS,056-ANALISE_COMPARATIVA_DOS_RETORNOS_E_DOS_CUSTOS_DE_COOPERATIVAS_DE_CREDITO_BRASILEIRAS.txt
057-ANALISE,COMPARATIVA_ENTRE_DOIS_SISTEMAS_DE_CULTIVO_DE_SOJA_TRANSGENICA_DESENVOLVIDOS_EM_SULINA PR_NA,057-ANALISE_COMPARATIVA_ENTRE_DOIS_SISTEMAS_DE_CULTIVO_DE_SOJA_TRANSGENICA_DESENVOLVIDOS_EM_SULINA-PR_NA.txt
058-ANALISE,CONJUNTURAL_DO_ACORDO_DE_LIVRE_COMERCIO_UNIAO_EUROPEIA_ _MERCOSUL,058-ANALISE_CONJUNTURAL_DO_ACORDO_DE_LIVRE_COMERCIO_UNIAO_EUROPEIA_-_MERCOSUL.txt
059-ANALISE,DA_APLICACAO_DA_TECNOLOGIA_BLOCKCHAIN_EM_CADEIAS_DE_SUPRIMENTOS_AGROALIMENTARES,059-ANALISE_DA_APLICACAO_DA_TECNOLOGIA_BLOCKCHAIN_EM_CADEIAS_DE_SUPRIMENTOS_AGROALIMENTARES.txt
060-ANALISE,DA_COMPRA_DE_ALIMENTOS_ORGANICOS_DA_AGRICULTURA_FAMILIAR_PELO_PROGRAMA_DE_ALIMENTACAO_ESCOLA,060-ANALISE_DA_COMPRA_DE_ALIMENTOS_ORGANICOS_DA_AGRICULTURA_FAMILIAR_PELO_PROGRAMA_DE_ALIMENTACAO_ESCOLA.txt
061-ANALISE,DA_DISTRIBUICAO_DAS_LINHAS_DE_CREDITO_DO_PROGRAMA_NACIONAL_DE_FORTALECIMENTO_DA_AGRICULTURA_,061-ANALISE_DA_DISTRIBUICAO_DAS_LINHAS_DE_CREDITO_DO_PROGRAMA_NACIONAL_DE_FORTALECIMENTO_DA_AGRICULTURA_.txt
062-ANALISE,DA_DISTRIBUICAO_ESPACIAL_AGRICOLA_NAS_MESORREGIOES_PARANAENSES_ENTRE_1975_E_2018,062-ANALISE_DA_DISTRIBUICAO_ESPACIAL_AGRICOLA_NAS_MESORREGIOES_PARANAENSES_ENTRE_1975_E_2018.txt
063-ANALISE,DA_DISTRIBUICAO_ESPACIAL_DA_POBREZA_NO_ESTADO_DO_TOCANTINS,063-ANALISE_DA_DISTRIBUICAO_ESPACIAL_DA_POBREZA_NO_ESTADO_DO_TOCANTINS.txt
064-ANALISE,DA_EFICIENCIA_DO_TEMPO_NO_PROCESSO_DE_COLHEITA_DE_COFFEA_CANEPHORA_EM_PROPRIEDADES_FAMILIARE,064-ANALISE_DA_EFICIENCIA_DO_TEMPO_NO_PROCESSO_DE_COLHEITA_DE_COFFEA_CANEPHORA_EM_PROPRIEDADES_FAMILIARE.txt
065-ANALISE,DA_ELASTICIDADE RENDA_DA_DEMANDA_DOS_ALIMENTOS_NORMAIS_LIGHTDIET_E_ORGANICOS_NO_BRASIL,065-ANALISE_DA_ELASTICIDADE-RENDA_DA_DEMANDA_DOS_ALIMENTOS_NORMAIS_LIGHTDIET_E_ORGANICOS_NO_BRASIL.txt
066-ANALISE,DA_FORMACAO_DE_PRECO_DO_FRETE_RODOVIARIO_DA_SOJA_BASEADO_EM_COMPONETES_PRINCIPAIS,066-ANALISE_DA_FORMACAO_DE_PRECO_DO_FRETE_RODOVIARIO_DA_SOJA_BASEADO_EM_COMPONETES_PRINCIPAIS.txt
067-ANALISE,DA_INTEGRACAO_E_TRANSMISSAO_DE_PRECOS_DA_MANDIOCA_ENTRE_OS_MERCADOS_DE_TARRAFAL_SANTA_CATARI,067-ANALISE_DA_INTEGRACAO_E_TRANSMISSAO_DE_PRECOS_DA_MANDIOCA_ENTRE_OS_MERCADOS_DE_TARRAFAL_SANTA_CATARI.txt
068-ANALISE,DA_SUSTENTABILIDADE_AGROALIMENTAR_DOS_TERRITORIOS_OCUPADOS_POR_FAMILIAS_RURAIS_EM_VULNERABIL,068-ANALISE_DA_SUSTENTABILIDADE_AGROALIMENTAR_DOS_TERRITORIOS_OCUPADOS_POR_FAMILIAS_RURAIS_EM_VULNERABIL.txt
069-ANALISE,DE_PERSISTENCIA_AOS_CHOQUES_NAS_EXPORTACOES_BRASILEIRAS_DE_SUCO_DE_LARANJA,069-ANALISE_DE_PERSISTENCIA_AOS_CHOQUES_NAS_EXPORTACOES_BRASILEIRAS_DE_SUCO_DE_LARANJA.txt
070-ANALISE,DE_VIABILIDADE_ECONOMICA_E_FINANCEIRA_PARA_A_IMPLANTACAO_DE_UMA_VINICULTURA_FAMILIAR_NA_REGI,070-ANALISE_DE_VIABILIDADE_ECONOMICA_E_FINANCEIRA_PARA_A_IMPLANTACAO_DE_UMA_VINICULTURA_FAMILIAR_NA_REGI.txt
071-ANALISE,DE_VIDEOS_DO_YOUTUBE_SOBRE_COOPERATIVISMO_Uma_revisao_teorica,071-ANALISE_DE_VIDEOS_DO_YOUTUBE_SOBRE_COOPERATIVISMO_Uma_revisao_teorica.txt
072-ANALISE,DOS_DETERMINANTES_DO_DESENVOLVIMENTO_DA_REGIAO_PORTUARIA_DE_SUAPE_UMA_VISAO_INTERSETORIAL,072-ANALISE_DOS_DETERMINANTES_DO_DESENVOLVIMENTO_DA_REGIAO_PORTUARIA_DE_SUAPE_UMA_VISAO_INTERSETORIAL.txt
073-ANALISE,DO_CUSTO_DE_PRODUCAO_DE_OVOS_Estudo_de_Caso_em_uma_Propriedade_Familiar,073-ANALISE_DO_CUSTO_DE_PRODUCAO_DE_OVOS_Estudo_de_Caso_em_uma_Propriedade_Familiar.txt
074-ANALISE,DO_DESEMPENHO_DA_SUSTENTABILIDADE_EM_UMA_COOPERATIVA_DE_CREDITO_NA_CIDADE_DE_ITAMARAJUBA_UMA,074-ANALISE_DO_DESEMPENHO_DA_SUSTENTABILIDADE_EM_UMA_COOPERATIVA_DE_CREDITO_NA_CIDADE_DE_ITAMARAJUBA_UMA.txt
075-ANALISE,DO_IMPACTO_DA_COVID 19_NA_SEGURANCA_ALIMENTAR_EM_CABO_VERDE_ESTUDO_DE_CASO_NO_BAIRRO_DA_ACHA,075-ANALISE_DO_IMPACTO_DA_COVID-19_NA_SEGURANCA_ALIMENTAR_EM_CABO_VERDE_ESTUDO_DE_CASO_NO_BAIRRO_DA_ACHA.txt
076-ANALISE,DO_PLANO_DE_ACAO_PARA_PREVENCAO_E_CONTROLE_DO_DESMATAMENTO_NA_AMAZONIA_LEGAL_E_O_SEU_EFEITO_,076-ANALISE_DO_PLANO_DE_ACAO_PARA_PREVENCAO_E_CONTROLE_DO_DESMATAMENTO_NA_AMAZONIA_LEGAL_E_O_SEU_EFEITO_.txt
077-ANALISE,DO_PROCESSO_DE_FINANCEIRIZACAO_DO_ACAI_ENQUANTO_COMMODITY_E_DA_PERSPECTIVA_DE_SUA_CONVERSAO_,077-ANALISE_DO_PROCESSO_DE_FINANCEIRIZACAO_DO_ACAI_ENQUANTO_COMMODITY_E_DA_PERSPECTIVA_DE_SUA_CONVERSAO_.txt
078-ANALISE,DO_PROGRAMA_DE_AGRICULTURA_DE_BAIXO_CARBONO_NO_AGRONEGOCIO_SERGIPANO_E_SUAS_PERSPECTIVAS,078-ANALISE_DO_PROGRAMA_DE_AGRICULTURA_DE_BAIXO_CARBONO_NO_AGRONEGOCIO_SERGIPANO_E_SUAS_PERSPECTIVAS.txt
079-ANALISE,DO_PROGRAMA_DE_AQUISICAO_DE_ALIMENTOS_PAA_COMO_UM_INSTRUMENTO_DA_POLITICA_NACIONAL_DE_AGROEC,079-ANALISE_DO_PROGRAMA_DE_AQUISICAO_DE_ALIMENTOS_PAA_COMO_UM_INSTRUMENTO_DA_POLITICA_NACIONAL_DE_AGROEC.txt
080-ANALISE,ECONOMICA_E_AMBIENTAL_DAS_ALTERNATIVAS_DE_RESTAURACAO_DO_DEFICIT_DE_RESERVA_LEGAL_EM_MATO_GR,080-ANALISE_ECONOMICA_E_AMBIENTAL_DAS_ALTERNATIVAS_DE_RESTAURACAO_DO_DEFICIT_DE_RESERVA_LEGAL_EM_MATO_GR.txt
081-ANALISE,ESPACIAL_DA_PRODUCAO_DE_BIODIESEL_E_DAS_MATERIAS_PRIMAS_DA_AGRICULTURA_FAMILIAR_NO_CENTRO OE,081-ANALISE_ESPACIAL_DA_PRODUCAO_DE_BIODIESEL_E_DAS_MATERIAS_PRIMAS_DA_AGRICULTURA_FAMILIAR_NO_CENTRO-OE.txt
082-ANALISE,ESPACIAL_DA_PRODUCAO_DE_LEITE_NO_BRASIL,082-ANALISE_ESPACIAL_DA_PRODUCAO_DE_LEITE_NO_BRASIL.txt
083-ANALISE,GRAVITACIONAL_DO_COMERCIO_DE_MINERIOS_DOS_ESTADOS_DE_MINAS_GERAIS_E_PARA,083-ANALISE_GRAVITACIONAL_DO_COMERCIO_DE_MINERIOS_DOS_ESTADOS_DE_MINAS_GERAIS_E_PARA.txt
084-ANALISE,MULTIVARIADA_DOS_SISTEMAS_DE_PRODUCAO_DA_HORTICULTURA_NO_MUNICIPIO_DE_BOTUCATU_SAO_PAULO_POT,084-ANALISE_MULTIVARIADA_DOS_SISTEMAS_DE_PRODUCAO_DA_HORTICULTURA_NO_MUNICIPIO_DE_BOTUCATU_SAO_PAULO_POT.txt
085-ANALISE,SHIFT SHARE_DA_ESTRUTURA_PRODUTIVA_AGRICOLA_EM_GOIAS_NO_PERIODO_DE_1990 2017,085-ANALISE_SHIFT-SHARE_DA_ESTRUTURA_PRODUTIVA_AGRICOLA_EM_GOIAS_NO_PERIODO_DE_1990-2017.txt
086-ANALISE,SOCIOECONOMICA_MUNICIPAL_NA_MESORREGIAO_NORTE_CENTRAL_PARANAENSE,086-ANALISE_SOCIOECONOMICA_MUNICIPAL_NA_MESORREGIAO_NORTE_CENTRAL_PARANAENSE.txt
